year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2018,Paris,SF,L,Djokovic,32.4,46.0,53.3,54.7,40.9,43.0,57.0,53.3,54.7,55.8,63.0,53.2,42.9,11.4,25.0,51.3,-13,hard
2018,Basel,F,W,Copil,29.2,41.5,69.8,88.2,35.2,50.0,58.8,69.8,88.2,61.5,55.6,62.5,0.0,7.1,25.0,57.7,-47,hard
2018,Shanghai,SF,L,Coric,39.3,52.5,43.2,52.4,46.9,47.5,67.5,43.2,52.4,59.0,50.0,50.0,20.0,23.8,23.8,31.3,-79,hard
2018,Shanghai,R32,W,Medvedev,31.4,48.8,54.2,66.7,41.7,45.0,66.7,54.2,66.7,59.8,57.7,58.8,100.0,0.0,7.7,38.5,-118,hard
2018,US Open,R16,L,Millman,28.3,43.9,53.5,66.7,37.1,43.5,62.4,53.5,66.7,61.4,40.5,60.4,66.7,15.4,29.5,43.9,32,hard
2018,US Open,R32,W,Kyrgios,38.0,54.3,58.9,74.2,47.7,49.2,70.5,58.9,74.2,63.8,48.3,62.5,50.0,16.7,23.3,40.0,-30,hard
2018,US Open,R64,W,Paire,27.4,38.9,62.5,60.0,32.4,36.4,47.3,62.5,60.0,45.1,60.0,63.3,0.0,17.1,31.4,65.5,47,hard
2018,US Open,R128,W,Nishioka,30.5,48.8,57.4,63.6,40.6,40.0,63.6,57.4,63.6,55.1,62.5,64.5,40.0,12.5,20.8,47.6,4,hard
2018,Cincinnati,F,L,Djokovic,32.5,36.4,41.7,34.8,37.8,48.9,51.1,41.7,34.8,58.0,47.6,54.2,50.0,10.7,17.9,48.0,-15,hard
2018,Cincinnati,SF,W,Goffin,46.7,57.8,54.5,50.0,53.8,50.0,62.5,54.5,50.0,60.0,57.1,50.0,,45.5,54.5,66.7,154,hard
2018,Cincinnati,QF,W,Wawrinka,34.4,61.1,70.7,71.4,41.8,44.0,68.0,70.7,71.4,57.2,65.0,50.0,,23.1,53.8,70.0,-41,hard
2018,Wimbledon,QF,L,Anderson,44.6,55.4,51.5,55.9,50.6,52.0,63.4,51.5,55.9,60.7,50.9,54.3,100.0,28.3,37.7,44.7,-51,grass
2018,Wimbledon,R16,W,Mannarino,40.8,53.9,62.2,79.2,50.8,52.9,68.6,62.2,79.2,67.8,45.8,44.4,50.0,16.0,24.0,42.9,-79,grass
2018,Wimbledon,R32,W,Struff,47.3,64.9,67.6,81.3,54.9,60.0,85.0,67.6,81.3,74.0,50.0,60.0,,34.4,43.8,57.1,10,grass
2018,Wimbledon,R64,W,Lacko,41.0,73.8,75.0,85.7,54.1,51.2,88.4,75.0,85.7,69.8,50.0,44.0,,16.7,38.9,60.0,-79,grass
2018,Wimbledon,R128,W,Lajovic,34.9,60.3,73.7,80.8,46.5,40.9,65.9,73.7,80.8,57.5,29.4,55.6,,25.0,56.3,58.3,10,grass
2018,Halle,F,L,Coric,45.5,59.1,53.2,72.4,56.4,53.2,72.6,53.2,72.4,68.7,66.7,54.3,0.0,28.0,28.0,22.2,-21,grass
2018,Halle,SF,W,Kudla,33.3,50.7,63.8,72.4,43.2,42.0,62.0,63.8,72.4,56.8,60.0,56.0,33.3,18.2,31.8,50.0,58,grass
2018,Halle,QF,W,Ebden,43.1,52.3,56.8,64.7,49.7,52.8,66.7,56.8,64.7,64.7,35.3,63.2,100.0,31.0,34.5,50.0,-79,grass
2018,Halle,R16,W,Paire,34.4,48.9,52.5,53.1,42.1,43.9,59.6,52.5,53.1,56.0,50.0,48.6,66.7,18.2,30.3,51.9,-79,grass
2018,Halle,R32,W,Bedene,53.1,65.3,65.2,63.6,58.4,66.7,78.8,65.2,63.6,74.5,37.5,52.9,,25.0,37.5,66.7,-79,grass
2018,Stuttgart,F,W,Raonic,40.9,54.5,61.5,72.7,49.8,50.0,65.9,61.5,72.7,63.4,47.6,56.5,,22.7,31.8,47.1,-79,grass
2018,Stuttgart,SF,W,Kyrgios,39.5,61.6,72.0,73.5,51.7,38.2,65.5,72.0,73.5,57.3,63.2,47.2,,44.8,58.6,68.8,19,grass
2018,Stuttgart,R16,W,Zverev,32.4,47.9,55.3,62.5,43.9,33.3,50.0,55.3,62.5,50.4,36.4,26.9,50.0,31.8,45.5,40.0,-13,grass
2018,Miami,R64,L,Kokkinakis,32.1,45.2,63.0,69.7,41.8,40.0,56.4,63.0,69.7,54.7,66.7,61.8,0.0,19.2,26.9,52.4,72,hard
2018,Indian Wells,F,L,del,27.8,39.1,56.4,58.1,35.8,38.6,52.9,56.4,58.1,51.7,48.3,51.2,50.0,12.5,20.0,54.3,4,hard
2018,Indian Wells,SF,W,Coric,28.4,40.9,51.6,50.0,34.4,34.6,48.1,51.6,50.0,44.8,42.9,48.4,40.0,20.0,31.4,53.6,-37,hard
2018,Indian Wells,QF,W,Chung,27.5,47.8,53.1,53.3,37.5,34.8,54.3,53.1,53.3,49.8,60.0,46.2,66.7,13.6,36.4,52.6,-13,hard
2018,Indian Wells,R16,W,Chardy,34.7,55.1,84.4,100.0,44.5,48.0,72.0,84.4,100.0,67.2,62.5,70.6,,20.8,37.5,73.7,-79,hard
2018,Indian Wells,R32,W,Krajinovic,42.9,66.7,60.9,75.0,52.6,55.6,81.5,60.9,75.0,70.7,60.0,50.0,50.0,21.4,42.9,45.5,22,hard
2018,Indian Wells,R64,W,Delbonis,30.5,48.8,53.6,54.8,40.1,41.5,62.3,53.6,54.8,56.4,72.2,42.9,100.0,10.7,25.0,52.0,-27,hard
2018,Rotterdam,F,W,Dimitrov,46.2,61.5,66.7,71.4,57.2,41.7,62.5,66.7,71.4,59.6,60.0,57.1,,53.3,60.0,57.1,-79,hard
2018,Rotterdam,R16,W,Kohlschreiber,41.2,61.8,67.5,77.3,53.5,52.2,78.3,67.5,77.3,70.4,31.6,48.1,,18.2,27.3,55.6,-79,hard
2018,Australian Open,F,W,Cilic,46.8,54.7,48.6,52.8,50.9,57.1,66.7,48.6,52.8,64.0,50.0,47.5,0.0,33.3,39.2,44.1,31,hard
2018,Australian Open,SF,W,Chung,43.2,48.6,70.0,75.0,43.2,75.0,75.0,70.0,75.0,75.0,50.0,50.0,,20.0,30.0,68.8,-7,hard
2018,Australian Open,QF,W,Berdych,31.3,47.9,63.9,71.4,39.8,41.7,65.0,63.9,71.4,55.3,57.7,55.9,100.0,16.1,22.6,53.8,35,hard
2018,Australian Open,R16,W,Fucsovics,30.9,45.7,74.1,71.4,39.8,41.7,54.2,74.1,71.4,56.7,68.0,47.8,,16.1,35.5,76.9,13,hard
2018,Australian Open,R32,W,Gasquet,34.0,53.2,50.8,67.6,46.5,39.3,63.9,50.8,67.6,58.5,42.9,63.6,0.0,25.0,34.4,25.0,-33,hard
2018,Australian Open,R64,W,Struff,47.8,60.9,55.3,57.1,52.9,59.6,73.1,55.3,57.1,68.7,58.3,46.4,100.0,33.3,46.2,53.8,-41,hard
2018,Australian Open,R128,W,Bedene,33.3,56.8,62.7,62.9,45.1,39.7,62.1,62.7,62.9,56.0,45.5,55.6,0.0,20.0,50.0,62.5,73,hard
2017,Tour Finals,SF,L,Goffin,33.8,46.8,53.2,60.0,45.2,34.8,52.2,53.2,60.0,53.9,63.6,62.5,50.0,37.0,44.4,41.2,72,hard
2017,Basel,F,W,del,28.7,39.6,55.2,57.6,34.5,37.7,52.8,55.2,57.6,48.7,26.1,46.7,20.0,20.9,27.9,52.9,79,hard
2017,Shanghai,F,W,Nadal,47.7,59.1,65.2,61.5,53.9,56.7,66.7,65.2,61.5,65.7,57.1,56.3,,28.6,42.9,70.0,-79,hard
2017,Shanghai,SF,W,del,35.9,57.8,65.9,76.9,47.2,43.5,69.6,65.9,76.9,59.1,30.4,47.8,,16.7,27.8,46.7,-79,hard
2017,Laver Cup,RR,W,Kyrgios,35.4,50.6,55.3,50.0,43.0,45.1,56.9,55.3,50.0,56.9,55.0,51.6,,20.8,45.8,63.2,78,hard
2017,US Open,QF,L,del,29.9,44.5,54.9,50.0,36.9,44.6,60.2,54.9,50.0,56.0,40.5,63.0,66.7,8.2,22.4,60.0,-37,hard
2017,US Open,R128,W,Tiafoe,40.5,50.0,47.7,46.2,45.7,58.7,68.3,47.7,46.2,68.3,38.2,41.4,0.0,20.4,30.6,48.7,35,hard
2017,Canada,F,L,Zverev,35.8,45.3,46.9,52.9,40.6,37.0,55.6,46.9,52.9,46.3,53.8,50.0,0.0,37.5,37.5,40.0,37,hard
2017,Canada,SF,W,Haase,44.4,59.3,72.4,71.4,52.2,53.3,73.3,72.4,71.4,67.3,41.7,38.9,0.0,34.8,43.5,73.3,-16,hard
2017,Canada,R16,W,Ferrer,35.3,42.2,43.5,41.9,39.4,48.3,58.3,43.5,41.9,55.3,52.0,45.7,50.0,18.4,21.1,45.2,65,hard
2017,Wimbledon,F,W,Cilic,51.4,62.9,59.4,54.5,57.4,58.5,69.8,59.4,54.5,66.4,66.7,65.5,,33.3,46.7,70.0,99,grass
2017,Wimbledon,SF,W,Berdych,35.2,55.2,66.1,71.1,46.2,44.9,69.6,66.1,71.1,61.6,46.2,55.8,33.3,20.0,33.3,58.3,59,grass
2017,Wimbledon,QF,W,Raonic,32.6,49.4,66.7,80.0,44.3,46.4,64.3,66.7,80.0,65.0,29.2,59.4,75.0,12.5,33.3,47.6,-19,grass
2017,Wimbledon,R16,W,Dimitrov,40.0,56.0,57.8,53.6,46.1,46.2,61.5,57.8,53.6,55.0,35.0,62.5,0.0,26.1,43.5,64.7,-79,grass
2017,Halle,F,W,Zverev,45.2,54.8,60.9,78.6,57.4,51.7,62.1,60.9,78.6,69.3,46.2,37.5,100.0,30.8,38.5,33.3,-79,grass
