year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2023,Miami,R16,W,Halys,30.2,49.1,67.6,73.1,46.4,33.3,59.0,67.6,73.1,55.4,72.2,38.1,,27.3,27.3,50.0,118,hard
2023,Miami,R64,W,Carballes,27.7,38.3,65.5,66.7,34.5,33.3,48.1,65.5,66.7,45.2,30.0,41.2,,26.7,33.3,63.6,16,hard
2023,Indian Wells,F,L,Alcaraz,14.6,25.0,48.7,53.8,21.0,16.1,32.3,48.7,53.8,26.1,76.5,57.1,,13.3,13.3,38.5,11,hard
2023,Indian Wells,SF,W,Tiafoe,33.3,46.7,62.5,64.0,40.4,44.4,60.0,62.5,64.0,56.2,70.8,52.4,,17.9,28.6,60.9,22,hard
2023,Indian Wells,QF,W,Davidovich,31.4,41.4,68.3,73.9,37.4,41.0,56.4,68.3,73.9,51.8,52.4,61.1,66.7,25.0,29.2,61.1,95,hard
2023,Indian Wells,R16,W,Zverev,26.7,38.2,59.3,60.0,34.4,36.8,51.7,59.3,60.0,48.4,74.4,56.3,50.0,7.7,12.8,58.3,-43,hard
2023,Indian Wells,R32,W,Ivashka,30.3,40.8,55.3,57.1,36.6,40.4,53.2,55.3,57.1,50.6,47.8,33.3,0.0,17.4,26.1,52.6,34,hard
2023,Indian Wells,R64,W,Nakashima,23.2,46.4,65.9,59.1,32.1,33.3,63.6,65.9,59.1,48.5,66.7,50.0,50.0,9.5,23.8,73.7,-22,hard
2023,Dubai,F,W,Rublev,45.0,50.0,66.7,64.3,49.0,51.7,58.6,66.7,64.3,57.2,38.5,50.0,,30.0,30.0,71.4,59,hard
2023,Dubai,SF,W,Djokovic,29.0,35.5,53.5,66.7,33.4,33.3,41.7,53.5,66.7,40.8,29.4,31.6,,24.0,28.0,36.8,-21,hard
2023,Dubai,QF,W,Coric,30.2,41.9,66.7,57.1,35.1,46.2,57.7,66.7,57.1,54.2,64.3,41.7,,7.1,21.4,76.9,-53,hard
2023,Dubai,R16,W,Bublik,51.2,56.1,78.9,91.7,56.6,60.0,66.7,78.9,91.7,67.3,57.1,43.8,,30.0,30.0,57.1,59,hard
2023,Dubai,R32,W,Arnaldi,27.4,38.7,61.9,65.2,35.2,37.8,54.1,61.9,65.2,50.8,58.8,55.0,,13.6,18.2,57.9,14,hard
2023,Doha,F,W,Murray,24.7,35.1,53.8,58.8,28.6,29.2,41.7,53.8,58.8,35.4,72.7,30.8,50.0,21.7,30.4,44.4,72,hard
2023,Doha,SF,W,Auger,18.2,31.8,66.0,71.1,26.4,20.8,33.3,66.0,71.1,32.1,52.2,40.0,0.0,11.8,29.4,53.3,4,hard
2023,Doha,QF,W,Oconnell,25.3,37.3,65.0,64.7,32.2,34.6,51.9,65.0,64.7,45.6,44.0,37.0,50.0,10.3,13.8,65.4,-12,hard
2023,Doha,R16,W,Broady,25.0,30.4,56.1,53.6,33.0,33.3,40.5,56.1,53.6,44.0,77.8,41.7,50.0,0.0,0.0,61.5,-118,hard
2023,Rotterdam,F,W,Sinner,23.3,32.6,55.4,64.3,30.0,28.8,42.4,55.4,64.3,38.6,53.1,55.6,33.3,11.5,11.5,39.1,-23,hard
2023,Rotterdam,SF,W,Dimitrov,23.6,32.7,50.0,54.2,29.3,33.3,47.2,50.0,54.2,41.9,38.9,55.6,100.0,5.3,5.3,44.4,-79,hard
2023,Rotterdam,QF,W,Auger,28.6,36.7,63.6,65.2,35.1,23.3,36.7,63.6,65.2,34.0,57.1,68.8,0.0,41.2,41.2,60.0,80,hard
2023,Rotterdam,R16,W,Van,24.1,31.0,59.5,53.3,30.7,28.6,38.1,59.5,53.3,37.6,65.0,45.5,50.0,14.3,14.3,75.0,19,hard
2023,Rotterdam,R32,W,Davidovich,24.7,37.0,46.6,52.9,32.5,32.0,50.0,46.6,52.9,44.6,59.1,53.6,57.1,14.3,17.9,37.5,24,hard
2023,Australian Open,R32,L,Korda,23.8,30.3,46.7,50.0,30.0,33.3,43.6,46.7,50.0,43.1,65.7,46.5,50.0,7.3,7.3,42.1,-43,hard
2023,Australian Open,R64,W,Millman,22.4,33.7,52.1,62.2,30.1,32.8,46.3,52.1,62.2,44.0,68.6,46.9,0.0,0.0,7.1,35.7,-118,hard
2023,Australian Open,R128,W,Giron,30.1,45.2,66.0,65.6,37.9,37.3,54.9,66.0,65.6,48.4,72.7,41.4,66.7,16.7,27.8,66.7,32,hard
2023,Adelaide 1,SF,L,Djokovic,41.7,47.9,48.0,52.9,47.3,45.2,54.8,48.0,52.9,53.9,61.5,38.9,,42.9,42.9,37.5,188,hard
2023,Adelaide 1,QF,W,Khachanov,35.3,52.9,64.3,76.5,45.3,48.5,75.8,64.3,76.5,63.9,66.7,55.6,0.0,15.4,15.4,45.5,4,hard
2023,Adelaide 1,R16,W,Kecmanovic,27.5,52.9,64.7,65.4,39.4,31.6,60.5,64.7,65.4,47.6,63.2,47.4,,20.0,40.0,62.5,51,hard
2023,Adelaide 1,R32,W,Sonego,34.3,42.9,47.7,42.3,38.7,42.2,53.3,47.7,42.3,49.1,76.5,32.1,16.7,21.7,26.1,55.6,42,hard
2022,Tour Finals,RR,L,Djokovic,29.4,41.3,46.0,46.8,36.0,34.0,46.8,46.0,46.8,43.0,55.8,45.1,25.0,16.7,26.7,44.0,16,hard
2022,Tour Finals,RR,L,Rublev,38.2,52.0,52.9,62.2,47.6,45.1,64.6,52.9,62.2,59.3,47.1,47.9,50.0,30.3,33.3,34.8,150,hard
2022,Tour Finals,RR,L,Tsitsipas,41.6,46.5,54.4,66.7,46.5,55.2,61.2,54.4,66.7,62.7,71.4,71.8,0.0,15.6,18.8,40.7,10,hard
2022,Paris,R32,L,De,26.7,32.7,47.8,47.6,33.4,33.3,41.3,47.8,47.6,44.0,55.6,47.2,33.3,18.2,21.2,48.1,47,hard
2022,Vienna,F,W,Shapovalov,25.8,33.0,49.3,56.8,32.1,32.3,40.0,49.3,56.8,41.7,66.7,34.4,60.0,13.8,20.7,36.0,19,hard
2022,Vienna,SF,W,Dimitrov,34.1,52.3,77.8,75.0,42.0,48.4,71.0,77.8,75.0,59.7,53.3,43.8,,0.0,9.1,81.8,-118,hard
2022,Vienna,QF,W,Sinner,30.6,44.9,63.6,69.6,39.0,37.8,56.8,63.6,69.6,48.9,46.7,63.6,,9.1,9.1,50.0,-79,hard
2022,Vienna,R16,W,Thiem,35.7,50.0,62.5,57.1,43.0,47.5,65.0,62.5,57.1,57.7,44.4,45.5,100.0,8.3,16.7,72.7,-49,hard
2022,Vienna,R32,W,Basilashvili,46.3,53.7,65.0,60.0,50.0,53.1,62.5,65.0,60.0,57.8,42.9,50.0,,28.6,28.6,80.0,126,hard
2022,Astana,SF,L,Djokovic,21.5,38.5,65.3,64.9,34.9,24.5,42.9,65.3,64.9,42.2,61.9,50.0,100.0,14.3,28.6,66.7,19,hard
2022,Astana,QF,W,Bautista,25.0,47.2,69.2,82.4,37.8,34.6,65.4,69.2,82.4,52.3,54.5,46.7,100.0,0.0,0.0,44.4,-118,hard
2022,Metz,R16,L,Wawrinka,30.8,43.3,56.7,72.7,38.3,46.8,66.1,56.7,72.7,59.4,17.9,44.1,57.1,10.0,13.3,37.0,-39,hard
2022,US Open,R16,L,Kyrgios,33.1,42.5,44.6,51.2,38.0,46.1,57.9,44.6,51.2,54.3,52.9,45.2,25.0,14.3,20.4,38.1,-20,hard
2022,Cincinnati,SF,L,Tsitsipas,23.6,34.9,58.6,51.4,27.5,28.8,40.4,58.6,51.4,36.9,66.7,64.0,50.0,23.3,37.2,66.7,86,hard
2022,Cincinnati,QF,W,Fritz,36.9,40.5,55.1,50.0,39.0,51.9,51.9,55.1,50.0,55.2,59.1,53.1,33.3,11.5,23.1,60.9,-8,hard
2022,Cincinnati,R16,W,Shapovalov,36.8,50.0,63.2,61.5,44.3,42.2,62.2,63.2,61.5,53.6,52.6,53.8,50.0,33.3,33.3,66.7,169,hard
2022,Cincinnati,R32,W,Van,34.8,39.4,59.0,76.2,39.8,44.7,52.6,59.0,76.2,53.4,76.5,42.9,50.0,25.0,25.0,38.9,118,hard
2022,Canada,R32,L,Kyrgios,34.0,41.5,56.1,54.5,38.5,45.0,55.0,56.1,54.5,52.0,66.7,55.6,33.3,17.2,20.7,58.3,44,hard
2022,Los Cabos,F,W,Norrie,28.6,40.8,55.9,52.0,35.9,26.5,44.1,55.9,52.0,37.1,45.5,60.9,100.0,35.7,35.7,66.7,22,hard
2022,Los Cabos,R16,W,Hijikata,32.7,50.9,64.9,71.4,38.4,43.2,56.8,64.9,71.4,51.6,52.9,55.0,,11.1,38.9,56.3,-79,hard
