year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2015,Monte Carlo,QF,W,Dimitrov,30.2,41.5,54.1,62.5,36.2,31.4,42.9,54.1,62.5,40.6,56.3,52.6,100.0,27.8,38.9,38.5,-79,clay
2015,Monte Carlo,R16,W,Federer,28.4,37.0,51.7,48.1,31.6,38.6,47.7,51.7,48.1,44.5,40.0,33.3,50.0,16.2,24.3,54.8,-79,clay
2015,Marseille,SF,W,Bautista,36.7,57.1,53.3,55.6,46.1,43.8,68.8,53.3,55.6,58.1,40.0,52.9,66.7,25.0,37.5,50.0,10,hard
2015,Marseille,R32,W,Zverev,33.3,44.4,55.9,71.4,40.4,51.7,65.5,55.9,71.4,64.8,60.0,68.4,,13.0,21.7,45.0,14,hard
2015,Rotterdam,QF,L,Berdych,23.9,28.3,34.3,20.0,25.2,28.6,28.6,34.3,20.0,31.4,37.5,46.2,50.0,20.0,28.0,45.0,-79,hard
2015,Montpellier,SF,L,Gasquet,37.5,50.0,43.3,35.7,42.1,51.7,58.6,43.3,35.7,59.3,45.5,55.6,50.0,15.8,36.8,50.0,-79,hard
2014,Paris,R16,L,Djokovic,35.0,41.7,45.7,45.0,37.5,47.4,55.3,45.7,45.0,51.3,55.0,38.9,0.0,16.7,22.2,46.7,32,clay
2014,US Open,QF,L,Federer,24.2,32.5,50.9,46.0,29.5,35.1,42.3,50.9,46.0,43.6,47.5,42.1,50.0,8.2,20.4,57.8,-43,hard
2014,Australian Open,R32,L,Nadal,17.3,30.6,42.1,44.2,24.8,23.5,39.7,42.1,44.2,34.3,36.4,42.9,57.1,4.0,12.0,37.5,-81,hard
2014,Doha,F,L,Nadal,28.7,41.4,48.3,46.2,36.0,38.1,52.4,48.3,46.2,48.1,30.8,35.1,50.0,5.0,15.0,52.6,-72,hard
2013,Shanghai,R16,W,Federer,42.3,52.9,52.7,55.6,47.1,55.7,72.1,52.7,55.6,63.9,33.3,40.5,50.0,26.3,28.9,50.0,97,hard
2013,Halle,R16,W,Hernych,28.8,40.9,53.3,60.0,33.3,39.0,53.7,53.3,60.0,46.3,39.1,38.9,0.0,13.0,21.7,45.0,14,grass
2013,Roland Garros,R128,W,Berdych,33.7,44.2,59.8,63.5,41.4,43.5,55.7,59.8,63.5,54.2,46.8,46.4,50.0,8.5,14.9,53.5,-30,clay
2011,Roland Garros,QF,L,Federer,16.5,24.1,51.5,51.5,21.1,23.3,29.1,51.5,51.5,30.3,30.8,42.6,44.4,5.7,20.0,51.5,-70,clay
2010,Paris,F,L,Soderling,35.2,40.7,42.4,47.1,38.1,43.3,50.0,42.4,47.1,48.7,42.9,50.0,100.0,27.3,31.8,37.5,47,clay
2010,Paris,SF,W,Federer,37.1,46.0,58.9,62.2,43.5,51.3,57.9,58.9,62.2,61.7,46.7,39.1,100.0,16.3,30.2,55.6,42,clay
2010,Paris,QF,W,Murray,25.0,44.1,56.9,65.5,35.7,32.6,58.1,56.9,65.5,49.5,38.1,40.9,33.3,12.0,20.0,45.5,-79,clay
2010,Tokyo,F,L,Nadal,36.2,51.1,40.0,39.1,45.1,42.5,57.5,40.0,39.1,53.0,57.9,33.3,50.0,0.0,14.3,42.9,-118,hard
2010,US Open,QF,L,Djokovic,14.7,22.9,41.4,38.3,16.5,23.0,29.5,41.4,38.3,26.2,56.5,42.1,25.0,4.8,16.7,45.0,-72,hard
2009,Paris,F,L,Djokovic,34.0,43.4,42.9,56.8,39.8,42.2,57.8,42.9,56.8,51.9,44.0,59.0,50.0,25.7,25.7,23.1,118,clay
2009,Paris,SF,W,Stepanek,26.0,35.4,42.3,45.9,31.6,37.3,49.2,42.3,45.9,46.3,57.6,34.6,0.0,8.1,13.5,38.2,-79,clay
2009,Roland Garros,QF,L,Federer,25.0,31.7,49.3,48.5,29.7,42.1,50.9,49.3,48.5,50.7,22.2,48.7,33.3,4.8,9.5,50.0,-67,clay
2009,Roland Garros,R16,W,Roddick,32.5,44.6,53.2,54.2,39.5,45.5,63.6,53.2,54.2,58.6,61.1,34.6,50.0,23.3,30.0,52.2,16,clay
2008,Beijing Olympics,QF,L,Djokovic,22.9,33.7,47.5,50.0,28.4,30.4,47.8,47.5,50.0,40.4,52.2,30.4,0.0,14.7,17.6,44.8,31,hard
2008,Roland Garros,SF,L,Federer,19.5,32.2,47.8,58.5,26.6,27.8,42.2,47.8,58.5,39.7,34.8,43.2,28.6,7.4,18.5,34.0,-43,clay
2006,Rome,SF,L,Nadal,10.9,17.4,40.5,47.6,18.0,12.5,25.0,40.5,47.6,26.3,54.5,38.5,0.0,11.1,11.1,31.3,-18,clay
2006,Doha,F,L,Federer,26.0,30.2,41.3,48.1,28.7,38.6,47.7,41.3,48.1,44.5,47.6,43.5,50.0,18.2,18.2,36.1,51,hard
2005,US Open,R128,L,Djokovic,37.4,48.3,58.6,69.7,42.2,57.7,67.9,58.6,69.7,66.7,47.2,35.7,0.0,15.6,28.1,51.9,31,hard
