year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2019,US Open,QF,Schwartzman,22.0,39.6,52.9,31.8,28.1,50.9,61.0,43.7,24.0,34.4,33.3,12.1,21.2,41.4,-35,False,False,True,True
2019,Canada,F,Medvedev,23.9,30.4,70.6,31.1,24.2,33.3,76.0,34.2,50.0,58.8,100.0,25.0,25.0,55.6,37,False,False,True,True
2019,Wimbledon,SF,Federer,40.9,48.8,42.3,43.8,51.9,59.3,46.2,56.3,46.2,31.0,20.0,23.8,33.3,37.5,53,False,True,False,False
2019,Wimbledon,R16,Sousa,34.4,54.1,72.2,43.9,40.0,62.9,76.2,56.6,56.3,42.1,60.80416666666667,31.8,50.0,66.7,103,False,True,False,True
2019,Wimbledon,R32,Tsonga,42.9,52.4,74.3,48.7,50.0,61.4,77.3,58.4,61.1,42.3,60.80416666666667,27.8,33.3,69.2,1,False,True,False,True
2019,Wimbledon,R64,Kyrgios,34.8,53.0,68.5,41.0,43.8,61.6,68.3,53.6,75.9,27.3,0.0,20.0,40.0,68.8,-7,False,True,False,True
2019,Wimbledon,R128,Sugita,39.0,43.9,52.1,43.0,56.5,63.0,50.0,63.7,42.9,36.0,33.3,17.6,20.6,53.6,5,False,True,False,True
2019,Roland Garros,F,Thiem,23.6,31.1,61.7,33.1,26.6,35.4,63.8,39.4,25.0,62.8,80.0,14.8,18.5,56.5,-79,True,False,False,True
2019,Roland Garros,SF,Federer,26.1,30.7,54.7,31.9,30.6,34.7,54.0,37.6,23.3,59.5,66.7,6.7,13.3,57.1,-49,True,False,False,True
2019,Rome,F,Djokovic,16.7,28.8,63.6,23.0,20.8,33.3,65.8,29.6,9.1,69.2,50.0,5.6,16.7,58.8,-79,True,False,False,True
2019,Rome,SF,Tsitsipas,20.3,27.1,69.6,24.1,22.9,28.6,63.0,29.1,6.3,68.4,100.0,17.4,26.1,78.9,-16,True,False,False,True
2019,Madrid,SF,Tsitsipas,13.8,22.3,48.8,18.9,18.8,27.5,50.0,25.8,35.5,73.7,87.5,0.0,8.3,45.8,-118,True,False,False,False
2019,Barcelona,SF,Thiem,15.0,21.3,55.6,21.9,19.0,27.6,57.4,28.4,11.1,87.1,100.0,5.9,5.9,50.0,-68,True,False,False,False
2019,Barcelona,R16,Ferrer,14.8,23.0,56.9,24.9,20.5,29.5,54.3,34.5,25.0,71.4,100.0,0.0,6.3,62.5,-118,True,False,False,True
2019,Barcelona,R32,Mayer,27.5,33.0,59.4,32.9,32.2,40.7,55.0,40.5,8.3,54.3,100.0,20.0,20.0,66.7,16,True,False,False,True
2019,Monte Carlo,SF,Fognini,6.8,10.2,39.6,11.7,9.8,12.2,37.8,16.8,31.6,54.5,50.0,0.0,6.3,43.8,-118,True,False,False,False
2019,Monte Carlo,QF,Pella,11.0,17.8,50.0,16.0,14.6,25.0,51.2,22.3,27.8,26.7,22.2,4.5,4.5,47.6,-74,True,False,False,True
2019,Indian Wells,QF,Khachanov,25.0,32.1,60.0,28.8,32.0,40.0,64.7,38.4,50.0,28.1,0.0,16.1,22.6,53.8,44,False,False,True,True
2019,Acapulco,R16,Kyrgios,36.2,53.3,65.6,44.0,43.8,65.6,72.2,56.6,50.0,40.0,100.0,26.3,36.8,57.1,32,False,False,True,False
2019,Acapulco,R32,Zverev,28.6,48.2,63.9,34.1,33.3,50.0,50.0,43.7,33.3,60.0,100.0,27.3,54.5,81.3,136,False,False,True,True
2019,Australian Open,F,Djokovic,27.4,39.7,39.2,32.2,34.0,48.9,25.8,41.5,41.7,60.9,100.0,16.7,25.0,60.0,37,False,False,True,False
2019,Australian Open,SF,Tsitsipas,32.8,47.5,70.7,41.6,42.5,57.5,73.9,56.0,33.3,68.0,100.0,14.3,28.6,66.7,-79,False,False,True,True
2019,Australian Open,QF,Tiafoe,33.8,49.4,66.7,43.4,42.1,59.6,72.7,55.1,50.0,62.9,50.0,10.0,20.0,55.6,-79,False,False,True,True
2018,US Open,SF,del,21.1,29.6,43.6,28.9,24.5,34.0,47.5,34.9,50.0,51.7,100.0,11.8,17.6,33.3,4,False,False,True,False
2018,US Open,QF,Thiem,22.8,38.3,54.4,31.2,25.5,44.5,56.1,38.3,25.6,64.2,75.0,18.9,28.3,51.2,27,False,False,True,True
2018,US Open,R16,Basilashvili,27.1,42.4,61.4,36.6,32.9,51.3,64.7,47.6,37.5,63.6,66.7,17.9,28.2,56.3,29,False,False,True,True
2018,US Open,R32,Khachanov,22.2,33.3,59.6,30.3,29.2,39.3,58.7,42.4,45.2,38.3,60.0,11.5,25.0,60.9,2,False,False,True,True
2018,Canada,F,Tsitsipas,21.1,43.9,76.7,29.1,34.4,59.4,90.5,48.8,40.0,70.6,100.0,4.3,26.1,63.6,-74,False,False,True,True
2018,Canada,SF,Khachanov,27.5,43.5,55.1,34.9,31.1,51.1,58.1,42.4,58.8,50.0,60.80416666666667,21.7,30.4,50.0,-16,False,False,True,True
2018,Wimbledon,SF,Djokovic,26.2,35.2,52.3,33.1,31.3,42.0,51.5,41.1,48.5,31.7,40.0,14.3,19.6,54.2,22,False,True,False,False
2018,Wimbledon,QF,del,24.1,37.3,63.6,32.5,28.4,43.1,63.9,40.4,45.1,53.8,40.0,15.6,26.7,63.2,36,False,True,False,True
2018,Roland Garros,F,Thiem,20.7,25.6,66.1,25.4,25.0,32.1,76.2,31.8,12.0,35.5,60.80416666666667,13.0,13.0,45.0,9,True,False,False,True
2018,Roland Garros,SF,del,15.7,33.7,67.2,24.3,21.6,45.1,65.0,35.7,8.7,71.4,100.0,6.9,17.2,70.4,-49,True,False,False,True
2018,Rome,F,Zverev,15.3,23.6,55.0,22.1,14.9,25.5,50.0,25.3,45.8,47.8,100.0,16.7,20.8,65.0,-19,True,False,False,True
2018,Rome,SF,Djokovic,23.1,32.3,58.3,30.6,25.0,37.5,53.3,37.3,33.3,18.2,60.80416666666667,21.7,26.1,66.7,42,True,False,False,True
2018,Rome,QF,Fognini,18.9,28.4,62.7,24.7,23.9,34.8,68.6,33.3,45.8,45.5,60.80416666666667,11.1,18.5,54.2,-25,True,False,False,True
2018,Rome,R16,Shapovalov,40.5,56.8,81.0,49.2,41.9,54.8,83.3,52.3,42.9,29.4,60.80416666666667,40.0,80.0,66.7,173,True,False,False,True
2018,Madrid,QF,Thiem,24.7,29.9,37.5,28.8,35.6,44.4,44.8,42.7,14.3,91.7,85.7,10.0,10.0,29.6,-15,True,False,False,False
2018,Barcelona,F,Tsitsipas,14.3,28.6,66.7,21.8,17.1,31.4,72.4,27.7,16.7,70.6,66.7,9.1,27.3,50.0,-39,True,False,False,True
2018,Monte Carlo,F,Nishikori,18.5,37.0,65.9,30.2,18.4,42.1,67.7,35.0,28.6,62.5,0.0,23.1,30.8,60.0,88,True,False,False,True
2018,Monte Carlo,SF,Dimitrov,28.3,32.1,54.1,29.2,36.1,38.9,43.5,37.5,17.6,84.2,100.0,12.5,18.8,71.4,10,True,False,False,True
2018,Monte Carlo,QF,Thiem,31.4,45.7,78.3,42.0,36.0,56.0,75.0,50.8,33.3,38.5,60.80416666666667,22.2,22.2,85.7,72,True,False,False,True
2018,Monte Carlo,R16,Khachanov,22.2,40.0,67.6,31.3,28.6,53.6,70.0,43.2,26.7,30.8,60.80416666666667,12.5,18.8,64.3,10,True,False,False,True
2018,Monte Carlo,R32,Bedene,18.8,29.2,65.8,25.4,12.9,25.8,70.4,23.2,14.3,70.6,100.0,31.3,37.5,54.5,-79,True,False,False,True
2018,Davis Cup,RR,Zverev,18.3,26.8,62.5,23.7,21.2,28.8,61.0,29.6,37.5,35.7,100.0,14.8,25.9,65.2,29,False,False,True,True
2018,Australian Open,QF,Cilic,22.0,32.3,47.6,27.8,29.3,39.0,54.0,37.1,62.7,59.4,69.2,0.0,12.8,33.3,-118,False,False,True,False
2018,Australian Open,R128,Estrella,24.2,43.9,67.3,35.6,29.2,47.9,67.6,44.8,30.0,67.9,66.7,11.8,35.3,66.7,4,False,False,True,True
2017,Paris,R32,Chung,22.4,38.8,54.0,31.0,24.4,43.9,61.3,38.5,52.6,45.5,50.0,20.8,33.3,42.1,37,False,False,True,True
2017,Shanghai,F,Federer,34.4,39.3,37.5,38.0,39.1,43.5,39.3,43.9,42.9,44.0,25.0,20.0,26.7,33.3,-79,False,False,True,False
2017,Shanghai,SF,Cilic,30.6,43.1,62.5,37.1,40.4,53.8,61.3,49.4,34.8,62.1,100.0,5.6,16.7,64.7,-63,False,False,True,True
